;able;nakho uku;;;;
;about;nga;;;;
;accept;-amkela;;;;
;accommodate;-hlalisa;;;;
;accommodation;indawo yokuhlala;;;;
;ache;-qaqamba;;;;
;address;idilesi ; i-adilesi;;;
;adult;umntu omdala;;;;
;advise;-cebisa;;;;
;Afrikaans;isiBhulu;;;;
;after (adv.);mva;;;;
;after (prep.);emva koko;;;;
;afternoon;emva kwemini;;;;
;again;kwakhona;;;;
;age;ukudala;;;;
;agree;vuma;;;;
;ahead;phambili;;;;
wind;air;umoya;;;;
;all;-onke;;;;
;all of you;nonke;;;;
;all right;kulungile;;;;
;all the time;lonke ixesha;;;;
;allow;vumela;;;;
;also;kanjalo;;;;
;always;onke amaxesha;qho;;;
;and;na / ne / no;;;;
;anger;ingqumbo;;;;x
;angry;-qumbile;;;;
;animal;isilo;;;;
;another;-nye;;;;
;answer (v.);phendula;;;;
;answer (n.);impendulo;;;;x
;anxious;-nexhala;;;;
;any time;naninina;;;;
;anybody;nabani;;;;
;anything;nayiphina into;;;;
;anywhere;naphina;;;;
;apple;i-apile;;;;
;appointment;idinga;;;;
go near;approach;sondela;;;;
;area;ummandla;;;;
;arm ;ingalo;;;;
;arrival;-fika;;;;
;arrive;ukufika;;;;
;ask (question);-buza;;;;
request;ask for;-cela;;;;
;assist;nceda;;;;
;autumn;ukwindla;;;;
;baboon;imfene;;;;
;baby;usana;;;;
;back (n);umqolo;;;;
;bad;-bi;;;;
;bag;ingxowa;;;;
;bank;ibhanki;;;;
;bargain;isisulu;;;;
;bathroom;ibhafrum ;igumbi lokuhlambela;;;
;battery;ibhetri;;;;
;be;-ba;;;;
;beach;unxweme;ibhitshi;;;
hit;beat;-bhetha;;;;
;beautiful;-hle;;;;
;because (conj);kuba;;;;
;because of;ngenxa ya-;;;;
;bed;ibhedi;;;;
;bee;inyosi;;;;
;beef;inyama yenkomo;;;;
;beer;utywala;;;;
;before (adv);ngaphambili;;;;
;before (prep);phambi kwa-;;;;
;beggar;umnqibi;;;;
;begin;-qala;;;;
;beginning;isiqalo;;;;
;behind;ngemva kwa-;;;;
;better;-bhetele;-ngcono;;;
;better than;ngcono kuna-;;;;
;between;phakathi kwa-;;;;
;beverage;isiselo;;;;
;Bible;ibhayibhile;;;;
;bicycle;ibhayisekile;;;;
;bin;umgqomo;;;;x
;bird;intaka;;;;
;birthday;umhla wokuzalwa;;;;
;bite;-luma;;;;
;bitter;-krakra;;;;
;black;-mnyama;;;;
;bladder;ininyi;;;;
;bleed;-opha;;;;
;bleeding;ukopha;;;;
;blood;igazi;;;;
;bless;sikelela;;;;
;bless you!;ukhule;;;;
;blouse;ibhlawuzi;;;;
;blue;-luhlaza;-blowu;;;
;blunt;-bhutunthu;;;;
;body;umzimba;;;;
;boil;bila;;;;
;boil (v.trans);bilisa;;;;
;bone;ithambo;;;;
;book;incwadi;;;;
;born;-zalwa;;;;
;born at;-zalelwa;;;;
;borrow;-boleka;;;;
;bottle;ibhotile;;;;
;box;ibokisi;;;;
;boy;inkwenkwe;;;;
;brake;-breki;;;;
;branch;isebe;;;;
;brave;nesibindi;;;;
;bread;isonka;;;;
;break;-aphuka;;;;
;broken (down);-aphukile;;;;
;break in;-qhekeza;;;;
;broken into;-qhekezela;;;;
;breakfast;iblakfesi;isidlo sakusasa;;;
;breast;ibele;;;;
;bring (intrans);-zisa;;;;
;bring (trans);-zisela;;;;
;brother;ubhuti;;;;
;brown;-ntsundu;;;;
;bucket;i-emele;;;;
;buffalo;inyathi;;;;
;build;-akha;;;;
;building;isakhiwo;;;;
;burgled;-qhekezelwa;;;;
;burn;-tsha;;;;
;burst;-gqabhuka;;;;
;bus;ibhasi;;;;
;bus stop;isitophu sebhasi;;;;
;bush;ityolo;;;;x
;business;ishishini;;;;
;business person;usomashishini;;;;x
;busy;-xaxekile;;;;
;but;kodwa;;;;
;butter;ibhotolo;;;;
;buy;-thenga;;;;
;cake;ikheyiki;;;;
;call;-biza;;;;
;camera;ikhamera;;;;
;can;-nakho uku-;;;;
;can (tin);itoti;;;;
;car;imoto;;;;
;by car;ngemoto;;;;
;card;ikardhi;;;;
;careful;lumka;;;;
;carry;-phatha;;;;
;carry for someone;ziphatela;;;;x
;cash;ikheshi;imali esesandleni;;;x
;cat;ikati;;;;
;catch;-bamba;;;;
;cattle ;iinkomo;;;;
;celebrate;-bhiyozela;;;;
;centre;umbindi;;;;x
;at the centre;embindini;;;;
;certainly;ngokuqinisekileyo;;;;x
;certificate;isiqinisekiso;;;;
;chair;isitulo;;;;
;chance;ithuba;;;;
;by chance;ngebhaqo;;;;
;charcoal;ilahle lomthi;;;;
;cheap;-tshiphu;ixasbiso liphantsi;;;
;check (v);-khangela;;;;
;cheese;isonka samasi;itshizi;;;
;chest;isifuba;;;;
;chicken;inkukhu;;;;
;chief;inkosi;;;;
;chieftainess;ikosikazi;;;;
;child;umntwana;;;;
;choose;-khetha;;;;
;Christmas;iKrismesi;;;;x
;church;iCawa;;;;
;cigarette;isigarethi;;;;
;city;isixeko;;;;
;clan name;isiduko;;;;
;clean;-cocekile;;;;
;clear (v);-zola;;;;
;clear (adj);-zolile;;;;
;clinic;ikliniki;;;;
;clock;iwotshi enkulu;;;;
;close;vala;;;;
;closed;valiwe;;;;
;cloth;ilaphu;;;;
;clothes;impahla;;;;
;cloud (n);ilifu;;;;
;cloudy;-sibekele;;;;
;coast;unxweme;;;;
;coat;idyasi;;;;
;coffee;iKofu;;;;
;cold (weather) (v);-banda;;;;
;cold (person) (v);-godola;;;;
;cold (adj);-bandayo;;;;
;cold (flu);ubushushu;umkhuhlane;;;
